ptype	year	petitions
parish	1690	7
other	1690	63
parish	1691	18
other	1691	146
other	1692	44
parish	1692	17
other	1693	4
parish	1693	14
other	1694	25
parish	1694	39
parish	1695	14
other	1695	25
parish	1696	8
other	1696	92
other	1697	104
parish	1697	34
other	1698	67
parish	1698	30
other	1699	129
parish	1699	55
parish	1700	27
other	1700	7
other	1701	28
parish	1701	8
other	1702	34
parish	1702	10
other	1703	69
parish	1703	25
parish	1704	3
other	1704	3
parish	1705	1
other	1705	10
other	1706	117
parish	1706	28
other	1707	131
parish	1707	26
other	1708	161
parish	1708	40
parish	1709	36
other	1709	78
other	1710	18
parish	1710	36
other	1711	76
parish	1711	55
other	1712	18
parish	1712	18
parish	1713	34
other	1713	69
parish	1714	51
other	1714	113
other	1715	204
parish	1715	73
other	1716	203
parish	1716	60
other	1717	154
parish	1717	97
parish	1718	28
other	1718	80
parish	1719	61
other	1719	82
other	1720	124
parish	1720	48
other	1721	41
parish	1721	37
parish	1722	81
other	1722	114
parish	1723	71
other	1723	77
other	1724	58
parish	1724	58
other	1725	90
parish	1725	56
other	1726	69
parish	1726	55
parish	1727	67
other	1727	60
parish	1728	11
other	1728	14
other	1729	16
parish	1729	2
other	1730	94
parish	1730	42
other	1731	46
parish	1731	55
parish	1732	68
other	1732	95
other	1733	135
parish	1733	91
other	1734	74
parish	1734	73
other	1735	65
parish	1735	54
parish	1736	72
other	1736	79
parish	1737	80
other	1737	56
other	1738	20
parish	1738	26
other	1739	11
parish	1739	22
other	1740	6
parish	1740	19
parish	1741	22
other	1741	5
other	1742	3
parish	1742	15
other	1743	6
parish	1743	22
other	1744	9
parish	1744	14
parish	1745	18
other	1745	13
parish	1746	17
other	1746	15
other	1747	55
parish	1747	54
other	1748	41
parish	1748	64
other	1749	37
parish	1749	44
parish	1750	21
other	1750	28
parish	1751	82
other	1751	84
other	1752	11
parish	1752	14
other	1753	35
parish	1753	22
parish	1754	51
other	1754	71
parish	1755	27
other	1755	35
other	1756	19
parish	1756	14
other	1757	31
parish	1757	22
other	1758	51
parish	1758	46
parish	1759	14
other	1759	4
parish	1760	37
other	1760	34
other	1761	22
parish	1761	7
other	1762	33
parish	1762	68
other	1763	43
parish	1763	40
parish	1764	32
other	1764	20
other	1765	9
parish	1765	33
other	1766	13
parish	1766	19
other	1767	26
parish	1767	63
parish	1768	66
other	1768	27
parish	1769	33
other	1769	29
other	1770	42
parish	1770	55
other	1771	15
parish	1771	26
other	1772	23
parish	1772	15
parish	1773	40
other	1773	35
other	1774	55
parish	1774	108
other	1775	33
parish	1775	39
other	1776	8
parish	1776	19
parish	1777	41
other	1777	30
parish	1778	39
other	1778	31
other	1779	12
parish	1779	80
other	1780	13
parish	1780	62
other	1781	38
parish	1781	30
parish	1782	31
other	1782	16
parish	1783	75
other	1783	30
other	1784	38
parish	1784	103
other	1785	27
parish	1785	117
parish	1786	70
other	1786	33
parish	1787	12
other	1787	19
other	1788	7
parish	1788	12
other	1789	26
parish	1789	45
other	1790	4
other	1791	62
parish	1791	64
other	1792	2
parish	1793	85
other	1793	51
parish	1794	83
other	1794	24
parish	1795	63
other	1795	33
parish	1796	78
other	1796	55
other	1797	30
parish	1797	68
parish	1798	73
other	1798	60
parish	1799	63
other	1799	47
