year	court	petitions
1690	Middlesex	66
1691	Middlesex	151
1692	Middlesex	52
1693	Middlesex	1
1694	Middlesex	41
1695	Middlesex	22
1696	Middlesex	61
1697	Middlesex	109
1698	Middlesex	78
1699	Middlesex	140
1700	Middlesex	1
1701	Middlesex	31
1702	Middlesex	43
1703	Middlesex	59
1704	Middlesex	0
1705	Middlesex	0
1706	Middlesex	120
1707	Middlesex	119
1708	Middlesex	178
1709	Middlesex	91
1710	Middlesex	15
1711	Middlesex	99
1712	Middlesex	13
1713	Middlesex	75
1714	Middlesex	135
1715	Middlesex	225
1716	Middlesex	229
1717	Middlesex	207
1718	Middlesex	80
1719	Middlesex	99
1720	Middlesex	128
1721	Middlesex	35
1722	Middlesex	159
1723	Middlesex	114
1724	Middlesex	80
1725	Middlesex	115
1726	Middlesex	106
1727	Middlesex	127
1728	Middlesex	23
1729	Middlesex	14
1730	Middlesex	104
1731	Middlesex	55
1732	Middlesex	126
1733	Middlesex	179
1734	Middlesex	119
1735	Middlesex	81
1736	Middlesex	117
1737	Middlesex	97
1738	Middlesex	18
1739	Middlesex	0
1740	Middlesex	0
1741	Middlesex	0
1742	Middlesex	0
1743	Middlesex	0
1744	Middlesex	0
1745	Middlesex	0
1746	Middlesex	7
1747	Middlesex	88
1748	Middlesex	79
1749	Middlesex	64
1750	Middlesex	40
1751	Middlesex	120
1752	Middlesex	0
1753	Middlesex	24
1754	Middlesex	106
1755	Middlesex	30
1756	Middlesex	1
1757	Middlesex	12
1758	Middlesex	73
1759	Middlesex	0
1760	Middlesex	64
1761	Middlesex	24
1762	Middlesex	84
1763	Middlesex	63
1764	Middlesex	32
1765	Middlesex	27
1766	Middlesex	15
1767	Middlesex	65
1768	Middlesex	69
1769	Middlesex	48
1770	Middlesex	65
1771	Middlesex	22
1772	Middlesex	13
1773	Middlesex	40
1774	Middlesex	105
1775	Middlesex	40
1776	Middlesex	4
1777	Middlesex	33
1778	Middlesex	55
1779	Middlesex	79
1780	Middlesex	60
1781	Middlesex	41
1782	Middlesex	12
1783	Middlesex	71
1784	Middlesex	117
1785	Middlesex	137
1786	Middlesex	84
1787	Middlesex	29
1788	Middlesex	8
1789	Middlesex	71
1790	Middlesex	4
1791	Middlesex	126
1792	Middlesex	2
1793	Middlesex	136
1794	Middlesex	106
1795	Middlesex	96
1796	Middlesex	133
1797	Middlesex	98
1798	Middlesex	130
1799	Middlesex	109
